User ID,Username,Follower Count,Retweet Count,Mention Count,Verified,Bot Label,Location,Created At,Tweet,Hashtags
33554,real_user_8553,1574,56,16,True,0,UK,2014-01-06,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,
9428,bot_user_9427,97,541,110,False,1,Nigeria,2020-07-30,RT @user: Check this out!! ,#breaking #viral #AI #trump
200,bot_user_199,407,679,174,False,1,India,2020-05-13,RT @user: Check this out!! RT @user: Check this out!! ,#trump #AI #covid #news #AI
12448,bot_user_12447,298,620,69,False,1,Russia,2021-09-25,RT @user: Check this out!! RT @user: Check this out!! ,#crypto #election #politics #bitcoin #AI #news
39490,real_user_14489,1667,91,21,False,0,UK,2018-01-28,Just had a great day exploring culture. ,
42725,real_user_17724,581,28,25,False,0,USA,2019-01-24,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#MAGA
10823,bot_user_10822,382,442,253,False,1,Unknown,2023-01-21,RT @user: Check this out!! ,#tech #covid #AI
49499,real_user_24498,7519,39,18,True,0,USA,2015-01-17,Just had a great day exploring technology. ,#election
4145,bot_user_4144,418,723,50,False,1,,2022-05-19,RT @user: Check this out!! RT @user: Check this out!! ,#trump #news #AI #breaking
36959,real_user_11958,9657,44,27,False,0,USA,2020-09-08,Just had a great day exploring technology. ,#politics
43107,real_user_18106,8794,70,22,False,0,Germany,2017-01-22,Just had a great day exploring nature. Just had a great day exploring nature. Just had a great day exploring nature. ,
38696,real_user_13695,7710,6,28,False,0,France,2021-03-30,Just had a great day exploring technology. Just had a great day exploring technology. ,#crypto #news
6189,bot_user_6188,378,818,164,False,1,Nigeria,2020-03-17,RT @user: Check this out!! ,#covid #tech #news #viral
1415,bot_user_1414,78,516,78,False,1,India,2021-09-25,RT @user: Check this out!! RT @user: Check this out!! ,#election #viral #tech #politics #AI #politics
18472,bot_user_18471,208,625,114,False,1,,2021-09-11,RT @user: Check this out!! RT @user: Check this out!! ,#trump #breaking #tech #tech #bitcoin #crypto #politics
29283,real_user_4282,873,72,13,False,0,Germany,2014-08-03,Just had a great day exploring nature. Just had a great day exploring nature. Just had a great day exploring nature. ,#tech
15178,bot_user_15177,33,598,250,False,1,Russia,2022-05-11,RT @user: Check this out!! ,#breaking #viral #viral #breaking #MAGA #AI
34305,real_user_9304,2179,94,7,False,0,Canada,2014-09-05,Just had a great day exploring nature. Just had a great day exploring nature. ,
12610,bot_user_12609,40,919,79,False,1,India,2023-04-14,RT @user: Check this out!! ,#AI #covid #covid #election #tech
12145,bot_user_12144,407,866,284,False,1,Unknown,2020-12-23,RT @user: Check this out!! ,#trump #viral #AI #breaking #breaking #covid #viral
6114,bot_user_6113,341,254,267,False,1,,2020-01-16,RT @user: Check this out!! ,#tech #trump #breaking
15909,bot_user_15908,68,727,272,False,1,Nigeria,2022-12-19,RT @user: Check this out!! RT @user: Check this out!! ,#tech #trump #news #AI
822,bot_user_821,221,320,276,False,1,India,2020-05-19,RT @user: Check this out!! ,#viral #bitcoin #MAGA #trump #covid #bitcoin #breaking
15119,bot_user_15118,456,399,189,False,1,Unknown,2020-09-13,RT @user: Check this out!! ,#crypto #AI #breaking
13467,bot_user_13466,155,891,148,False,1,Nigeria,2022-06-22,RT @user: Check this out!! RT @user: Check this out!! ,#election #MAGA #breaking #election #AI #tech
26498,real_user_1497,9096,18,27,False,0,Canada,2016-01-29,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#viral #trump
42112,real_user_17111,9476,63,15,False,0,UK,2022-07-22,Just had a great day exploring culture. Just had a great day exploring culture. Just had a great day exploring culture. ,#viral
30189,real_user_5188,5862,97,5,False,0,Germany,2010-05-25,Just had a great day exploring nature. Just had a great day exploring nature. ,
37238,real_user_12237,9181,92,23,False,0,USA,2021-06-18,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#election
33110,real_user_8109,250,66,18,False,0,USA,2015-05-24,Just had a great day exploring technology. Just had a great day exploring technology. ,#breaking #news
36481,real_user_11480,300,48,5,False,0,Canada,2010-05-06,Just had a great day exploring culture. Just had a great day exploring culture. ,#news #bitcoin
24149,bot_user_24148,328,495,157,False,1,,2021-10-21,RT @user: Check this out!! ,#bitcoin #politics #tech #tech #AI #crypto
5504,bot_user_5503,438,531,198,False,1,India,2020-10-09,RT @user: Check this out!! RT @user: Check this out!! ,#covid #MAGA #politics #bitcoin #AI #politics #news
3919,bot_user_3918,127,542,270,False,1,,2021-06-20,RT @user: Check this out!! ,#breaking #breaking #crypto #covid #news #trump #AI
38479,real_user_13478,2144,41,17,True,0,France,2023-04-15,Just had a great day exploring culture. Just had a great day exploring culture. Just had a great day exploring culture. ,#viral
21124,bot_user_21123,398,272,150,False,1,India,2020-11-28,RT @user: Check this out!! ,#covid #viral #news
49718,real_user_24717,1561,54,22,False,0,Canada,2022-09-11,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#viral #election
42295,real_user_17294,3166,50,5,False,0,Germany,2017-08-19,Just had a great day exploring culture. ,#MAGA
47610,real_user_22609,9631,30,18,False,0,Canada,2015-07-10,Just had a great day exploring nature. ,
11077,bot_user_11076,193,428,293,False,1,Unknown,2021-05-31,RT @user: Check this out!! ,#news #breaking #trump #AI #politics #covid #breaking
41515,real_user_16514,9050,9,22,False,0,UK,2015-07-28,Just had a great day exploring culture. ,
22063,bot_user_22062,369,793,161,False,1,Russia,2020-12-04,RT @user: Check this out!! RT @user: Check this out!! ,#MAGA #viral #tech #politics #tech #covid #bitcoin
9414,bot_user_9413,282,601,256,False,1,Unknown,2021-04-20,RT @user: Check this out!! ,#AI #election #election #covid #crypto
38341,real_user_13340,347,77,11,False,0,UK,2016-06-24,Just had a great day exploring culture. ,
30264,real_user_5263,7609,16,13,False,0,Germany,2019-04-19,Just had a great day exploring nature. ,#election #election
41253,real_user_16252,5927,30,4,False,0,Canada,2019-06-04,Just had a great day exploring nature. Just had a great day exploring nature. Just had a great day exploring nature. ,
14645,bot_user_14644,131,664,194,False,1,Russia,2020-11-04,RT @user: Check this out!! ,#AI #tech #viral
26336,real_user_1335,3115,31,0,False,0,France,2020-10-15,Just had a great day exploring technology. Just had a great day exploring technology. ,
28103,real_user_3102,2405,30,17,False,0,Germany,2023-01-21,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#politics #viral
17524,bot_user_17523,272,241,142,False,1,,2021-02-01,RT @user: Check this out!! ,#AI #news #breaking #bitcoin #viral #trump #AI
24713,bot_user_24712,250,997,167,False,1,India,2022-03-31,RT @user: Check this out!! RT @user: Check this out!! ,#MAGA #bitcoin #bitcoin #trump
40486,real_user_15485,3119,20,29,False,0,Germany,2016-12-14,Just had a great day exploring culture. Just had a great day exploring culture. ,#crypto
3851,bot_user_3850,261,645,212,False,1,Nigeria,2020-05-22,RT @user: Check this out!! RT @user: Check this out!! ,#bitcoin #MAGA #viral
40041,real_user_15040,2156,64,20,True,0,France,2019-11-19,Just had a great day exploring nature. ,#tech #trump
15268,bot_user_15267,401,460,294,False,1,Unknown,2023-05-16,RT @user: Check this out!! RT @user: Check this out!! ,#election #trump #covid #politics #MAGA
49147,real_user_24146,2109,73,26,False,0,Germany,2022-10-05,Just had a great day exploring culture. ,#trump #election
30002,real_user_5001,3035,85,0,True,0,USA,2016-06-14,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,#breaking
45927,real_user_20926,7895,5,0,False,0,France,2013-04-29,Just had a great day exploring nature. ,
43825,real_user_18824,141,57,23,False,0,Canada,2015-04-10,Just had a great day exploring culture. ,
17241,bot_user_17240,149,542,161,False,1,Unknown,2022-07-04,RT @user: Check this out!! RT @user: Check this out!! ,#breaking #crypto #breaking #covid #viral
4893,bot_user_4892,277,672,231,False,1,Unknown,2023-04-04,RT @user: Check this out!! RT @user: Check this out!! ,#AI #election #bitcoin #tech #MAGA
726,bot_user_725,418,583,245,False,1,Nigeria,2020-08-21,RT @user: Check this out!! ,#bitcoin #covid #trump #MAGA #trump
22950,bot_user_22949,254,880,247,False,1,Russia,2022-03-27,RT @user: Check this out!! ,#election #trump #covid
34658,real_user_9657,3147,2,19,False,0,USA,2017-07-03,Just had a great day exploring technology. Just had a great day exploring technology. Just had a great day exploring technology. ,
37214,real_user_12213,2503,65,0,False,0,USA,2011-12-08,Just had a great day exploring technology. Just had a great day exploring technology. ,#viral
20305,bot_user_20304,154,385,278,False,1,Nigeria,2021-01-13,RT @user: Check this out!! RT @user: Check this out!! ,#AI #politics #tech #viral
15270,bot_user_15269,206,933,262,False,1,Nigeria,2020-08-29,RT @user: Check this out!! RT @user: Check this out!! ,#election #MAGA #trump #AI #AI
22368,bot_user_22367,365,500,262,False,1,Nigeria,2020-09-28,RT @user: Check this out!! RT @user: Check this out!! ,#trump #AI #news #AI #AI #crypto #election
42685,real_user_17684,8679,7,20,False,0,UK,2013-10-09,Just had a great day exploring culture. Just had a great day exploring culture. ,
46735,real_user_21734,1012,65,18,False,0,Canada,2011-02-20,Just had a great day exploring culture. Just had a great day exploring culture. Just had a great day exploring culture. ,#trump #MAGA
11733,bot_user_11732,498,665,257,False,1,India,2021-09-04,RT @user: Check this out!! RT @user: Check this out!! ,#MAGA #trump #election
18620,bot_user_18619,475,753,173,False,1,Russia,2021-02-28,RT @user: Check this out!! RT @user: Check this out!! ,#tech #crypto #AI #MAGA
48493,real_user_23492,4446,71,21,False,0,UK,2010-11-25,Just had a great day exploring culture. Just had a great day exploring culture. ,
