followers_to_retweet_ratio,retweet_to_mention_ratio,account_age_days,is_verified,tweet_length,hashtag_count,mentions_count,engagement_score,Bot Label
27.614035087719298,3.2941176470588234,4378,1,129,0,16,9.77909397445601,0
0.17896678966789667,4.873873873873874,1981,0,27,4,110,141.67203930076653,1
0.5985294117647059,3.88,2059,0,54,5,174,141.84243481217666,1
0.47987117552334946,8.857142857142858,1559,0,54,6,69,120.79703303228266,1
18.119565217391305,4.136363636363637,2895,0,40,0,21,15.094380463596574,0
20.03448275862069,1.0769230769230769,2534,0,129,1,25,8.322619679521932,0
0.8623024830699775,1.7401574803149606,1076,0,27,3,253,116.79410985587913,1
187.975,2.0526315789473686,4002,1,43,1,18,6.386229488117672,0
0.5773480662983426,14.176470588235293,1323,0,54,4,50,127.97473566086144,1
214.6,1.5714285714285714,1941,0,43,1,27,7.737875308818809,0
123.85915492957747,3.0434782608695654,3266,0,117,0,22,10.129868936841792,0
1101.4285714285713,0.20689655172413793,1738,0,86,2,28,3.7986565293794916,0
0.46153846153846156,4.957575757575758,2116,0,27,4,164,165.31509921540925,1
0.15087040618955513,6.531645569620253,1559,0,54,6,78,135.5537173826892,1
0.33226837060702874,5.434782608695652,1573,0,54,7,114,138.20556174617306,1
11.95890410958904,5.142857142857143,4169,0,117,1,13,12.547562853831668,0
0.05509181969949917,2.3824701195219125,1331,0,27,6,250,238.51391912519364,1
22.936842105263157,11.75,4136,0,78,0,7,13.13814512962821,0
0.043478260869565216,11.4875,993,0,27,5,79,267.01129364621585,1
0.46943483275663206,3.0385964912280703,1835,0,27,7,284,191.22954283001545,1
1.3372549019607842,0.9477611940298507,2177,0,27,3,267,89.24701212488004,1
0.09340659340659341,2.663003663003663,1109,0,54,4,272,235.14207809683444,1
0.6884735202492211,1.1552346570397112,2053,0,27,7,276,110.22398125870151,1
1.14,2.1,1936,0,27,3,189,95.97071233780753,1
0.17376681614349776,5.97986577181208,1289,0,54,6,148,205.48842758019887,1
478.7368421052632,0.6428571428571429,3625,0,129,2,27,4.936478552344126,0
148.0625,3.9375,1259,0,120,1,15,8.518326073186186,0
59.816326530612244,16.166666666666668,5700,0,78,0,5,11.755774146756943,0
98.72043010752688,3.8333333333333335,1658,0,129,1,23,12.60258887115544,0
3.7313432835820897,3.473684210526316,3875,0,86,2,18,15.19144176922704,0
6.122448979591836,8.0,5719,0,80,2,5,9.281267379609124,0
0.6612903225806451,3.132911392405063,1533,0,27,6,157,112.43138174357276,1
0.8233082706766918,2.6683417085427137,1910,0,54,7,198,119.76786273636357,1
0.23388581952117865,2.0,1656,0,27,7,270,167.08463875503335,1
51.04761904761905,2.2777777777777777,992,1,120,1,17,7.5605880860937065,0
1.4578754578754578,1.8013245033112584,1860,0,27,3,150,70.43353034671549,1
28.381818181818183,2.347826086956522,1208,0,129,2,22,10.334002675612592,0
62.07843137254902,8.333333333333334,3057,0,40,1,5,6.823096912505707,0
310.6774193548387,1.5789473684210527,3828,0,39,0,18,5.232776815552849,0
0.44988344988344986,1.4557823129251701,1676,0,27,7,293,136.7343182930941,1
905.0,0.391304347826087,3810,0,40,0,22,3.4025772411948645,0
0.464735516372796,4.895061728395062,1854,0,54,7,161,161.25209888107602,1
0.4684385382059801,2.3385214007782102,1717,0,27,5,256,151.70895880717654,1
4.448717948717949,6.416666666666667,3478,0,40,0,11,15.02970436047149,0
447.5882352941176,1.1428571428571428,2449,0,39,2,13,3.2448097581882154,0
191.19354838709677,6.0,2403,0,117,0,4,3.9136191309290704,0
0.19699248120300752,3.405128205128205,1884,0,27,3,194,175.44759637886816,1
97.34375,31.0,1904,0,86,0,0,3.8535040562377207,0
77.58064516129032,1.6666666666666667,1076,0,129,2,17,6.0363699474783665,0
1.1239669421487604,1.6853146853146854,1795,0,27,7,142,68.23289843752603,1
0.250501002004008,5.934523809523809,1372,0,54,4,167,210.50997880214615,1
148.52380952380952,0.6666666666666666,3305,0,80,1,29,6.090051673413691,0
0.4040247678018576,3.028169014084507,2050,0,54,3,212,153.80048632019935,1
33.16923076923077,3.0476190476190474,2235,1,39,2,20,10.941863715239352,0
0.8698481561822126,1.5593220338983051,961,0,54,5,294,125.68894373427472,1
28.5,2.7037037037037037,1184,0,40,2,26,12.932863854850966,0
35.2906976744186,85.0,3488,1,129,1,0,10.600320512602348,0
1315.8333333333333,5.0,4630,0,39,0,0,0.5571503539026762,0
